instance,epoch,link0,link1,link2,link3,link4,link5
arm_0,1,7000,6500,1000,7000,6500,2500
arm_1,1,6000,5000,3500,1000,2000,1000
arm_2,1,3000,6500,4500,5000,6500,5000
arm_3,1,5500,3000,2000,6500,6000,6500
arm_4,1,2000,2000,2000,3000,1500,6000
arm_5,1,5000,4000,5500,3000,4500,3000
arm_6,1,6500,1500,6000,6500,3000,6000
arm_7,1,1500,7000,1000,2000,3000,5000
arm_8,1,4500,4000,3000,5500,2000,5500
arm_9,1,7000,5500,2500,6000,4500,6000
arm_10,1,1500,5000,3500,1500,4500,2500
arm_11,1,4500,5000,1500,2500,6000,4500
arm_12,1,2000,3500,3500,2000,3500,1000
arm_13,1,7000,7000,1500,5000,3000,3500
arm_14,1,1500,4000,6500,7000,5000,3500
arm_15,1,5000,3000,1000,4000,2000,7000
arm_16,1,2000,3500,3500,5500,6000,6000
arm_17,1,3500,1500,3500,4000,4500,4500
arm_18,1,4500,3000,3500,7000,7000,3500
arm_19,1,1000,2000,2000,5500,4500,6000
arm_20,1,2500,7000,2000,6000,3000,1500
arm_21,1,1500,4000,5500,7000,1000,6500
arm_22,1,5000,3000,2000,4500,1500,2000
arm_23,1,3000,4500,6500,5000,4500,3000
arm_24,1,6000,5000,2000,5000,1000,5500
arm_25,1,4500,1000,2000,4500,6000,2500
arm_26,1,4000,2500,6000,7000,3000,5000
arm_27,1,5000,1500,3500,7000,1500,4500
arm_28,1,3500,3000,3000,1000,4000,4500
arm_29,1,3000,7000,5000,2500,1500,6000
arm_30,1,1500,6500,6000,1000,5500,1000
arm_31,1,6500,4000,4000,4000,7000,4500
arm_32,1,2500,4000,7000,4500,6500,6500
arm_33,1,4500,1000,4000,4500,4000,1000
arm_34,1,6000,2000,5500,5000,1000,2000
arm_35,1,5500,3500,6500,1000,6500,6000
arm_36,1,2500,3000,1500,1000,5000,5000
arm_37,1,7000,3500,3000,3000,2500,4000
arm_38,1,7000,2000,7000,2500,1000,4500
arm_39,1,6500,6000,7000,3000,6500,1500
arm_40,1,5000,2500,4500,2000,1000,6500
arm_41,1,7000,4500,6000,2500,4500,3500
arm_42,1,6500,4000,5500,5500,4000,7000
arm_43,1,1000,3500,6500,1500,2500,5500
arm_44,1,4000,1000,3500,5500,5000,4500
arm_45,1,1000,2500,4000,4000,3000,3500
arm_46,1,4000,4000,6000,6000,7000,1500
arm_47,1,5000,4000,7000,2000,4000,4500
arm_48,1,6000,6000,7000,2000,1000,3000
arm_49,1,3000,7000,7000,3500,1500,2500
arm_50,1,3500,5500,5000,3500,3500,1500
arm_51,1,5500,1000,2000,3500,5000,1500
arm_52,1,5500,4000,3500,1500,3500,4000
arm_53,1,6000,6000,2500,3500,7000,6500
arm_54,1,3000,4500,3000,7000,6000,1500
arm_55,1,7000,2000,7000,1500,5000,5000
arm_56,1,3500,5000,7000,6500,4500,2000
arm_57,1,4000,4500,5500,3000,1000,3500
arm_58,1,1500,1500,5500,5500,4000,2500
arm_59,1,6500,5500,5000,5500,7000,3500
arm_60,1,3000,6500,4000,5000,2000,4000
arm_61,1,5000,5000,4000,3000,7000,5000
arm_62,1,5500,6500,3500,1000,4500,4500
arm_63,1,3500,6000,4500,3500,1000,6000
