instance,epoch,link0,link1,link2,link3,link4,link5
arm_0,1,2500,2000,1500,6000,0.0,0.0
arm_1,1,5500,2000,4500,3000,0.0,0.0
arm_2,1,7000,7000,5000,1000,0.0,0.0
arm_3,1,1000,6500,3500,1500,0.0,0.0
arm_4,1,1500,2500,3000,7000,0.0,0.0
arm_5,1,2500,6000,1500,3500,0.0,0.0
arm_6,1,5000,5000,3500,3500,0.0,0.0
arm_7,1,7000,3500,2500,6500,0.0,0.0
arm_8,1,1000,6000,6500,7000,0.0,0.0
arm_9,1,5500,3500,7000,5500,0.0,0.0
arm_10,1,2000,2000,1000,5000,0.0,0.0
arm_11,1,6500,4000,7000,5000,0.0,0.0
arm_12,1,3000,5000,3000,3000,0.0,0.0
arm_13,1,5000,4000,7000,7000,0.0,0.0
arm_14,1,3000,3500,5500,5000,0.0,0.0
arm_15,1,6500,5000,2500,3000,0.0,0.0
arm_16,1,4500,1000,4000,6500,0.0,0.0
arm_17,1,6500,5500,5500,2500,0.0,0.0
arm_18,1,5000,2000,6000,6500,0.0,0.0
arm_19,1,5000,6000,4500,2500,0.0,0.0
arm_20,1,1000,7000,3000,7000,0.0,0.0
arm_21,1,1000,5000,6000,6500,0.0,0.0
arm_22,1,6500,2500,3500,3500,0.0,0.0
arm_23,1,6500,5000,7000,5000,0.0,0.0
arm_24,1,2500,7000,2500,1500,0.0,0.0
arm_25,1,3000,2000,6500,2000,0.0,0.0
arm_26,1,4500,1000,1500,3000,0.0,0.0
arm_27,1,6500,2500,2500,5000,0.0,0.0
arm_28,1,6000,3000,6500,6500,0.0,0.0
arm_29,1,4500,1500,6000,7000,0.0,0.0
arm_30,1,7000,5000,6500,1500,0.0,0.0
arm_31,1,5000,3500,6000,1000,0.0,0.0
arm_32,1,2500,5000,7000,4000,0.0,0.0
arm_33,1,5500,4500,1000,2000,0.0,0.0
arm_34,1,2500,2000,2000,7000,0.0,0.0
arm_35,1,5500,3500,2500,2500,0.0,0.0
arm_36,1,3500,4000,6500,3500,0.0,0.0
arm_37,1,1500,4000,3500,1500,0.0,0.0
arm_38,1,2500,3500,3000,1000,0.0,0.0
arm_39,1,7000,3000,1500,3500,0.0,0.0
arm_40,1,6500,5500,6500,5500,0.0,0.0
arm_41,1,1000,3000,2000,3000,0.0,0.0
arm_42,1,2500,6500,5000,2000,0.0,0.0
arm_43,1,1500,2500,5500,3500,0.0,0.0
arm_44,1,5000,7000,1500,1500,0.0,0.0
arm_45,1,3500,7000,6000,2000,0.0,0.0
arm_46,1,4500,3000,1500,3000,0.0,0.0
arm_47,1,3500,4000,4000,7000,0.0,0.0
arm_48,1,7000,6500,5000,6000,0.0,0.0
arm_49,1,5000,6000,1000,2000,0.0,0.0
arm_50,1,5000,5000,3000,3500,0.0,0.0
arm_51,1,3000,5000,3000,1500,0.0,0.0
arm_52,1,5000,4500,1000,3500,0.0,0.0
arm_53,1,5000,1500,6500,2500,0.0,0.0
arm_54,1,4500,5000,4500,6000,0.0,0.0
arm_55,1,2000,2000,2000,3000,0.0,0.0
arm_56,1,4000,6000,7000,7000,0.0,0.0
arm_57,1,4000,6000,3500,4500,0.0,0.0
arm_58,1,6500,3000,3000,5500,0.0,0.0
arm_59,1,1500,7000,5500,5500,0.0,0.0
arm_60,1,3000,3000,4000,1000,0.0,0.0
arm_61,1,7000,4500,4500,5000,0.0,0.0
arm_62,1,1500,7000,4000,4500,0.0,0.0
arm_63,1,1000,1500,4000,3000,0.0,0.0
arm_64,1,4000,2500,6500,4500,0.0,0.0
arm_65,1,1500,1000,3000,3000,0.0,0.0
arm_66,1,2500,2000,6000,7000,0.0,0.0
arm_67,1,6000,2000,1000,3500,0.0,0.0
arm_68,1,5500,6500,4500,1500,0.0,0.0
arm_69,1,6000,1000,3500,3000,0.0,0.0
arm_70,1,7000,3500,5000,4500,0.0,0.0
arm_71,1,6500,2000,6000,2500,0.0,0.0
arm_72,1,2000,5000,5000,5500,0.0,0.0
arm_73,1,1000,6500,2000,4000,0.0,0.0
arm_74,1,3000,4000,1500,1000,0.0,0.0
arm_75,1,5000,2500,2500,5000,0.0,0.0
arm_76,1,4500,3000,2500,3000,0.0,0.0
arm_77,1,2000,4500,6500,2500,0.0,0.0
arm_78,1,2000,1000,7000,6500,0.0,0.0
arm_79,1,1500,7000,7000,6500,0.0,0.0
arm_80,1,7000,2000,7000,3500,0.0,0.0
arm_81,1,1000,7000,5500,6000,0.0,0.0
arm_82,1,4000,6500,3500,7000,0.0,0.0
arm_83,1,4000,3500,1000,4000,0.0,0.0
arm_84,1,6000,6000,3000,3000,0.0,0.0
arm_85,1,1500,5000,3000,7000,0.0,0.0
arm_86,1,2000,5000,5500,1500,0.0,0.0
arm_87,1,4500,4500,3000,6500,0.0,0.0
arm_88,1,1000,7000,2500,5000,0.0,0.0
arm_89,1,2500,4000,6000,5000,0.0,0.0
arm_90,1,6500,1500,5000,1000,0.0,0.0
arm_91,1,1000,2500,5000,3500,0.0,0.0
arm_92,1,6500,5000,2000,2500,0.0,0.0
arm_93,1,5500,3500,6500,7000,0.0,0.0
arm_94,1,3000,1000,3500,1500,0.0,0.0
arm_95,1,2000,4000,1000,5000,0.0,0.0
arm_96,1,2500,7000,4500,4500,0.0,0.0
arm_97,1,1500,2000,7000,4000,0.0,0.0
arm_98,1,5500,5000,3000,3500,0.0,0.0
